Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1973,27,0,1
192,2000,1973,27,0,2
288,2000,1973,27,0,3
384,2000,1973,27,0,4
480,2000,1973,27,0,5
576,2000,1973,27,0,6
672,2000,1973,27,0,7
768,2000,1973,27,0,8
864,2000,1973,27,0,9
960,2000,1973,27,0,10
1056,2000,1973,27,0,11
1152,2000,1973,27,0,12
1248,2000,1973,27,0,13
1344,2000,1973,27,0,14
1440,2000,1973,27,0,15
1536,2000,1973,27,0,16
1632,2000,1973,27,0,17
1728,2000,1973,27,0,18
1824,2000,1973,27,0,19
1920,2000,1973,27,0,20
2016,2000,1973,27,0,21
2112,2000,1973,27,0,22
2208,2000,1973,27,0,23
2304,2000,1973,27,0,24
2400,2000,1973,27,0,25
2496,2000,1973,27,0,26
2592,2000,1973,27,0,27
2688,2000,1973,27,0,28
2784,1973,1678,295,30,29
2880,1974,1671,303,1,30
2976,1975,1671,304,0,31
3072,1976,1672,304,0,32
3168,1977,1673,304,0,33
3264,1978,1674,304,0,34
3360,1979,1675,304,0,35
3456,1980,1676,304,0,36
3552,1980,1676,304,0,37
3648,1980,1676,304,0,38
3744,1980,1676,304,0,39
3840,1980,1676,304,0,40
3936,1980,1676,304,0,41
4032,1980,1676,304,0,42
4128,1980,1676,304,0,43
4224,1980,1676,304,0,44
4320,1980,1676,304,0,45
4416,1980,1676,304,0,46
4512,1980,1676,304,0,47
4608,1980,1676,304,0,48
4704,1980,1676,304,0,49
4800,1980,1676,304,0,50
4896,1980,1676,304,0,51
4992,1980,1676,304,0,52
5088,1980,1676,304,0,53
5184,1980,1676,304,0,54
5280,1980,1676,304,0,55
5376,1980,1676,304,0,56
5472,1685,92,1593,6011,57
5568,1677,9,1668,6089,58
5664,1676,4,1672,6108,59
5760,1676,1,1675,6086,60
5856,1676,0,1676,6084,61
5952,1676,0,1676,6084,62
6048,1676,0,1676,6084,63
6144,1676,0,1676,6084,64
6240,1676,0,1676,6084,65
6336,1676,0,1676,6084,66
6432,1676,0,1676,6084,67
6528,1676,0,1676,6084,68
6624,1676,0,1676,6084,69
6720,1676,0,1676,6084,70
6816,1676,0,1676,6084,71
6912,1676,0,1676,6084,72
7008,1676,0,1676,6084,73
7104,1676,0,1676,6084,74
7200,1676,0,1676,6084,75
7296,1676,0,1676,6084,76
7392,1676,0,1676,6084,77
